observer_id,Lden_combined_dBA
0,68.4
1,68.4
10,68.1
100,68.8
1000,73.4
10000,62.8
10001,63.10000000000001
10002,63.4
10003,63.7
10004,64.1
10005,64.5
10006,64.9
10007,65.3
10008,65.8
10009,66.2
1001,73.5
10010,66.7
10011,67.1
10012,67.5
10013,67.2
10014,66.9
10015,66.6
10016,66.4
10017,66.1
10018,65.9
10019,65.7
1002,73.7
10020,65.4
10021,65.1
10022,64.9
10023,64.7
10024,64.5
10025,64.5
10026,64.4
10027,64.3
10028,64.2
10029,64.2
1003,73.8
10030,64.0
10031,63.9
10032,63.8
10033,61.89999999999999
10034,61.89999999999999
10035,61.89999999999999
10036,62.0
10037,62.1
10038,62.2
10039,62.3
1004,73.9
10040,62.5
10041,62.7
10042,62.9
10043,63.2
10044,63.5
10045,63.8
10046,64.2
10047,64.6
10048,65.0
10049,65.4
1005,74.0
10050,65.9
10051,66.3
10052,66.7
10053,67.2
10054,67.3
10055,67.0
10056,66.7
10057,66.4
10058,66.1
10059,65.9
1006,74.1
10060,65.7
10061,65.6
10062,65.4
10063,65.3
10064,65.1
10065,65.0
10066,64.8
10067,64.5
10068,64.4
10069,64.3
1007,74.1
10070,64.2
10071,64.2
10072,64.1
10073,64.1
10074,64.0
10075,61.8
10076,61.89999999999999
10077,61.89999999999999
10078,61.89999999999999
10079,62.0
1008,74.2
10080,62.1
10081,62.2
10082,62.3
10083,62.5
10084,62.7
10085,63.0
10086,63.2
10087,63.6
10088,63.9
10089,64.3
1009,74.2
10090,64.7
10091,65.1
10092,65.5
10093,65.9
10094,66.3
10095,66.8
10096,66.9
10097,66.5
10098,66.2
10099,65.9
101,68.7
1010,74.3
10100,65.7
10101,65.5
10102,65.3
10103,65.2
10104,65.0
10105,64.9
10106,64.9
10107,64.8
10108,64.7
10109,64.6
1011,74.3
10110,64.5
10111,64.3
10112,64.2
10113,64.1
10114,64.0
10115,63.9
10116,63.9
10117,61.8
10118,61.8
10119,61.8
1012,74.3
10120,61.89999999999999
10121,61.89999999999999
10122,62.0
10123,62.1
10124,62.2
10125,62.400000000000006
10126,62.5
10127,62.8
10128,63.0
10129,63.3
1013,74.3
10130,63.6
10131,64.0
10132,64.3
10133,64.7
10134,65.1
10135,65.5
10136,65.9
10137,66.3
10138,66.7
10139,66.8
1014,74.3
10140,66.4
10141,66.1
10142,65.8
10143,65.5
10144,65.3
10145,65.1
10146,64.9
10147,64.8
10148,64.7
10149,64.6
1015,74.3
10150,64.5
10151,64.5
10152,64.4
10153,64.4
10154,64.4
10155,64.4
10156,64.3
10157,64.2
10158,64.0
10159,63.9
1016,74.2
10160,63.8
10161,61.8
10162,61.8
10163,61.8
10164,61.8
10165,61.89999999999999
10166,61.89999999999999
10167,62.0
10168,62.1
10169,62.2
1017,74.2
10170,62.400000000000006
10171,62.599999999999994
10172,62.8
10173,63.10000000000001
10174,63.3
10175,63.7
10176,64.0
10177,64.4
10178,64.7
10179,65.1
1018,74.1
10180,65.5
